rent_euro,year,half,half_year,time_period,county,province,area,location,property_type,bedrooms,bedrooms_num,is_dublin,is_city,is_county_aggregate
835.9,2020,1,2020H1,1,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
666.31,2020,1,2020H1,1,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
752.02,2020,1,2020H1,1,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1095.94,2020,1,2020H1,1,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
585.6,2020,1,2020H1,1,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1719.68,2020,1,2020H1,1,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1088.05,2020,1,2020H1,1,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
763.12,2020,1,2020H1,1,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1278.33,2020,1,2020H1,1,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
860.2,2020,1,2020H1,1,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
879.96,2020,1,2020H1,1,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
574.13,2020,1,2020H1,1,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
993.0,2020,1,2020H1,1,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
651.36,2020,1,2020H1,1,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1064.46,2020,1,2020H1,1,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
676.38,2020,1,2020H1,1,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1180.08,2020,1,2020H1,1,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
671.65,2020,1,2020H1,1,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
798.23,2020,1,2020H1,1,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
661.34,2020,1,2020H1,1,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
728.11,2020,1,2020H1,1,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
701.74,2020,1,2020H1,1,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
803.58,2020,1,2020H1,1,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
844.69,2020,1,2020H1,1,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
769.47,2020,1,2020H1,1,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1266.5,2020,1,2020H1,1,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
878.41,2020,2,2020H2,2,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
674.63,2020,2,2020H2,2,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
762.77,2020,2,2020H2,2,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1127.74,2020,2,2020H2,2,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
595.03,2020,2,2020H2,2,Donegal,Ulster,Donegal,Donegal,All property types,All bedrooms,,False,False,True
1737.41,2020,2,2020H2,2,Dublin,Leinster,Dublin,Dublin,All property types,All bedrooms,,True,True,True
1133.76,2020,2,2020H2,2,Galway,Connacht,Galway,Galway,All property types,All bedrooms,,False,False,True
774.97,2020,2,2020H2,2,Kerry,Munster,Kerry,Kerry,All property types,All bedrooms,,False,False,True
1297.63,2020,2,2020H2,2,Kildare,Leinster,Kildare,Kildare,All property types,All bedrooms,,False,False,True
866.17,2020,2,2020H2,2,Kilkenny,Leinster,Kilkenny,Kilkenny,All property types,All bedrooms,,False,False,True
881.78,2020,2,2020H2,2,Laois,Leinster,Laois,Laois,All property types,All bedrooms,,False,False,True
581.31,2020,2,2020H2,2,Leitrim,Connacht,Leitrim,Leitrim,All property types,All bedrooms,,False,False,True
1027.52,2020,2,2020H2,2,Limerick,Munster,Limerick,Limerick,All property types,All bedrooms,,False,False,True
658.67,2020,2,2020H2,2,Longford,Leinster,Longford,Longford,All property types,All bedrooms,,False,False,True
1080.78,2020,2,2020H2,2,Louth,Leinster,Louth,Louth,All property types,All bedrooms,,False,False,True
689.94,2020,2,2020H2,2,Mayo,Connacht,Mayo,Mayo,All property types,All bedrooms,,False,False,True
1196.99,2020,2,2020H2,2,Meath,Leinster,Meath,Meath,All property types,All bedrooms,,False,False,True
673.82,2020,2,2020H2,2,Monaghan,Ulster,Monaghan,Monaghan,All property types,All bedrooms,,False,False,True
818.57,2020,2,2020H2,2,Offaly,Leinster,Offaly,Offaly,All property types,All bedrooms,,False,False,True
676.75,2020,2,2020H2,2,Roscommon,Connacht,Roscommon,Roscommon,All property types,All bedrooms,,False,False,True
755.52,2020,2,2020H2,2,Sligo,Connacht,Sligo,Sligo,All property types,All bedrooms,,False,False,True
714.34,2020,2,2020H2,2,Tipperary,Munster,Tipperary,Tipperary,All property types,All bedrooms,,False,False,True
822.77,2020,2,2020H2,2,Waterford,Munster,Waterford,Waterford,All property types,All bedrooms,,False,False,True
860.0,2020,2,2020H2,2,Westmeath,Leinster,Westmeath,Westmeath,All property types,All bedrooms,,False,False,True
784.39,2020,2,2020H2,2,Wexford,Leinster,Wexford,Wexford,All property types,All bedrooms,,False,False,True
1292.86,2020,2,2020H2,2,Wicklow,Leinster,Wicklow,Wicklow,All property types,All bedrooms,,False,False,True
879.24,2021,1,2021H1,3,Carlow,Leinster,Carlow,Carlow,All property types,All bedrooms,,False,False,True
687.17,2021,1,2021H1,3,Cavan,Ulster,Cavan,Cavan,All property types,All bedrooms,,False,False,True
784.71,2021,1,2021H1,3,Clare,Munster,Clare,Clare,All property types,All bedrooms,,False,False,True
1134.97,2021,1,2021H1,3,Cork,Munster,Cork,Cork,All property types,All bedrooms,,False,False,True
