deal_id,sales_rep_id,product_id,amount,stage,date
1,2,3,26586.0,Qualified,2024-03-12
2,2,3,26586.0,Lead,2024-02-17
3,4,3,26586.0,Closed Lost,2024-04-11
4,7,2,39618.0,Lead,2024-03-22
5,7,2,26586.0,Proposal,2024-02-22
6,2,1,24526.0,Closed Lost,2024-05-15
7,1,3,9180.0,Lead,2024-10-09
8,5,3,26586.0,Lead,2024-12-04
9,4,1,26586.0,Closed Won,2024-05-22
10,8,1,25260.0,Qualified,2024-12-09
11,5,3,26586.0,Closed Lost,2024-05-05
12,3,2,26586.0,Proposal,2024-01-29
13,4,2,27290.0,Lead,2024-04-18
14,6,3,33717.0,Closed Won,2024-03-14
15,5,1,49823.0,Closed Lost,2024-08-07
16,7,1,10065.0,Lead,2024-01-25
17,2,3,11484.0,Closed Lost,2024-02-02
18,7,3,31674.0,Closed Lost,2024-01-06
19,2,3,26586.0,Proposal,2024-08-10
20,3,1,48323.0,Closed Lost,2024-04-01
21,2,3,26586.0,Qualified,2024-07-10
22,3,3,22243.0,Lead,2024-02-27
23,6,1,26586.0,Closed Lost,2024-02-10
24,2,1,26586.0,Qualified,2024-12-03
25,8,2,35581.0,Qualified,2024-10-03
26,4,2,45019.0,Closed Won,2024-09-21
27,8,1,26586.0,Proposal,2024-01-11
28,4,1,26586.0,Qualified,2024-02-04
29,1,1,26586.0,Proposal,2024-12-08
30,8,3,9671.0,Qualified,2024-08-30
31,7,1,7352.0,Proposal,2024-08-04
32,7,3,26586.0,Lead,2024-07-25
33,6,1,26586.0,Closed Lost,2024-08-17
34,3,1,19254.0,Qualified,2024-02-08
35,8,1,26586.0,Lead,2024-05-01
36,3,2,26586.0,Closed Won,2024-01-31
37,3,1,26586.0,Closed Won,2024-05-26
38,7,1,13445.0,Qualified,2024-01-30
39,1,1,4286.0,Closed Lost,2024-09-28
40,3,3,26586.0,Lead,2024-10-31
41,2,2,26586.0,Closed Lost,2024-10-31
42,1,2,44081.0,Proposal,2024-04-14
43,6,2,26586.0,Proposal,2024-08-22
44,6,1,26586.0,Lead,2024-10-02
45,4,1,26586.0,Qualified,2024-07-08
46,5,2,36600.0,Closed Lost,2024-11-30
47,1,3,26586.0,Proposal,2024-02-29
48,2,2,26586.0,Proposal,2024-04-14
